Id,County,State,GILLESPIE,HYRA,NORTHAM,TotalHH,FamilyHH,HHWithUnder18,HHWith65Plus,AvgHHSize,EnrollmentPreK,EnrollmentK,EnrollmentElem,EnrollmentHS,EnrollmentCollege,EduElem,EduPartialHS,EduHS,EduSomeCollege,EduAssociate,EduBachelors,EduGraduate,PopVetStatus,PopDisabledStatus,ResidenceDiffUS,ResidenceDiffAbroad,BornNativeUS,BornAbroad,LanguageEnglishOnly,LanguageSpanish,LanguageAsian,LanguageOther,HHWithComputer,HHWithBroadband,LaborCivilian,LaborArmedForces,LaborUnempRate,IndustryAgMining,IndustryConstruction,IndustryManufacture,IndustryWholesale,IndustryRetail,IndustryTransport,IndustryInfo,IndustryFinance,IndustryProfessional,IndustryEduHealth,IndustryEnter,IndustryOther,IndustryPubAdmin,PayrollPrivate,PayrollGovt,PayrollSelfEmp,IncomeUnder10k,Income10to14k,Income15to24k,Income25to34k,Income35to49k,Income50to74k,Income75to99k,Income100to149k,Income150to199k,Income200k,IncomeMedianHH,IncomeSocialSec,IncomeRetirement,IncomeSSI,IncomePublicAssist,IncomeSnap,IncomePerCapita,InsurancePrivate,InsurancePublic,InsuranceNone,IncomeBelowPoverty,PopTotal,PopMale,AgeUnder5,Age5to9,Age10to14,Age15to19,Age20to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Age65to74,Age75to84,Age85Plus,AgeMedian,RaceWhite,RaceBlack,RaceNative,RaceAsian,RacePacific,RaceOther,RaceMixed,PopHispanic
0500000US51001,ACCOMACK COUNTY, Virginia,0.537783611,0.005062816,0.457153572,-0.207728789,-0.412568221,-0.611230092,0.703905573,-0.833124821,-0.32538984,-0.300341516,1.396649292,-0.11319557,-0.746976292,0.655320992,0.782050367,0.836328337,-1.628780031,-0.982150007,-0.448127909,-0.004774257,0.989603593,-0.77555699,-1.808121856,1.365492013,-0.274710847,0.343401013,-0.102514019,0.169188417,-0.405355126,-0.219790327,,,-0.257259363,0.212690804,-0.027282603,-0.215857264,0.105885628,0.784293195,0.431379588,-0.124193454,-1.403843301,-0.98411701,-1.261606874,0.311417006,-0.538203576,0.58396372,-1.026664289,0.603338117,-0.161906025,0.132006566,0.12653663,0.693205908,-0.191951922,0.841331649,0.997131873,0.133709203,-0.515215545,-0.767522472,-0.517944593,-0.637486374,-0.214944874,-0.751248689,0.205507308,0.49842648,-0.484052048,-0.661174873,0.210570835,-0.281141133,-0.179880876,-0.173468647,1.090340042,0.250684004,-0.210106705,-0.529524049,0.011551695,-0.401996052,-0.474248739,-0.909479369,-0.566393264,-0.334549795,-0.542966776,-0.16796973,0.850136275,0.838471528,0.927999871,0.495453303,0.288474418,0.817523212,-0.934649895,1.376989969,-0.200259353,-0.405697295,-0.128905876,-0.138367693,-0.495568986,-0.010789311
0500000US51003,ALBEMARLE COUNTY, Virginia,0.351362217,0.01083152,0.637806262,0.017267545,-0.486752114,-0.07911142,-0.251539652,-0.341449729,-0.32538984,-0.577257133,-1.732858646,-1.697328535,2.034755782,-0.41453524,-1.105285781,-2.37132168,-1.550232199,-0.943046704,2.158307059,4.48588619,-0.488577268,-1.635250081,1.006615938,1.570078151,-0.99640105,0.923963176,-0.179395455,-0.182379707,1.11768097,0.008161879,,,0.27311878,0.080109809,-1.179540707,-0.713354742,-0.719008043,-1.121340938,-0.732905927,-0.998276915,-1.403843301,0.476600561,0.653148342,1.593058478,2.785126753,0.365237289,0.494363251,-0.19784359,-0.843048624,1.109778698,-0.107700266,-0.688704234,-1.53025121,-1.773132873,-1.630112023,-0.640882938,-0.086250393,0.556719842,1.22164056,1.830647668,2.910802504,1.77445736,-0.907633219,0.125887461,-1.241211057,-0.829855263,-1.422192216,2.168800514,1.620073621,-1.769499626,-0.813596609,-0.963672753,0.008917338,-0.907671456,-0.393531183,-0.322080101,-0.560580694,1.992873603,-0.001668959,0.506657924,-0.039962579,-0.430178594,0.15513328,-0.567885891,-0.418193473,-0.288876812,0.500842417,-0.396221813,-0.112178473,0.019551012,-0.22661832,1.176091309,-0.128905876,-0.111774147,0.274829348,-0.24610394
0500000US51510,ALEXANDRIA CITY, Virginia,0.20750882,0.008321829,0.784169351,0.268793979,-3.417015894,-1.229174356,-2.464149646,-1.24915759,1.167339116,-0.577257133,-1.381885793,-1.855741832,1.57113377,-0.200563993,-1.324107363,-3.205028072,-2.257162682,-1.764216057,2.86421653,6.086281136,-0.412773121,-2.019849621,1.507543851,5.661800915,-4.11279056,4.073073088,-1.981838017,0.682287842,1.485310373,3.351460901,,,2.331491099,0.941886279,-0.936960054,-0.901597032,-1.109747149,-1.41344544,-1.315048685,-2.080475486,-1.10872578,1.57213874,1.131837146,4.919223251,-1.336666058,0.556622916,2.335607115,3.130141961,-0.633466286,1.283254399,-0.810410955,-1.176437226,-1.82300418,-2.253953934,-2.615328483,-1.945459177,-0.872686505,0.777426894,2.215689219,3.019008503,4.747179088,3.270414038,-2.982747041,-1.305446667,-1.310043694,-0.54872128,-1.362274306,5.084167751,1.032523708,-2.256837329,0.385883481,-0.859585031,0.154014962,-0.78162232,1.226800329,-1.041323654,-2.546215651,-2.43321468,-0.606730714,5.155437421,4.109822046,0.028686918,-1.157650154,-1.234055195,-1.447635442,-1.73687087,-1.091917577,-0.900392823,-1.232646787,0.867089041,-0.22661832,1.911806938,-0.128905876,0.553064504,1.353387016,0.570143682
0500000US51005,ALLEGHANY COUNTY, Virginia,0.656065425,0.008178101,0.335756474,-0.268993994,-0.653665874,-0.920202224,1.491728829,-0.946588303,-0.32538984,0.031957226,0.226739782,0.248891965,-0.196425152,-0.066831964,0.453817994,0.483062916,-0.057823404,-0.043670747,-0.556729366,-0.339185142,0.042051759,0.85333518,-0.806266031,-0.680369369,0.627401906,-0.589017006,0.623588434,-0.476936784,-0.35283664,-0.219790327,,,-0.964430221,-0.185052182,-0.755024564,-0.646125353,0.322962909,1.13203665,-0.982395681,-0.332308563,0.120930556,0.354874097,-0.729730425,-0.024250998,0.066038302,-0.181578789,1.134795899,-0.660063806,0.624027744,-0.483043646,-0.393989806,0.313858025,0.351732164,0.781229017,-1.219605164,-0.110898841,-0.229238777,-0.25253935,0.3766992,0.002400229,-0.566591454,-0.193180218,1.607239823,1.537614272,0.858184377,-0.267587297,-0.193875058,0.032642034,0.323733336,0.545354466,-0.756478509,0.441511494,-0.262815525,-0.48750767,-1.122680363,-0.561827952,-0.905908512,-0.474126423,-0.566393264,-0.82156479,-0.542966776,0.356447999,-0.153756939,0.912490339,1.601096543,0.978117989,0.713210416,1.303021222,0.549374626,-0.262961664,-0.252977286,-0.442483076,-0.128905876,-0.430896699,-0.392849208,-0.554954392
0500000US51007,AMELIA COUNTY, Virginia,0.687188381,0.008671147,0.304140473,-0.289242961,1.701672735,-0.18210213,0.301612847,0.982290901,1.648864586,-0.798789627,0.25598752,0.113109139,-0.408918574,0.628574586,0.590581483,0.313495514,0.596741858,-0.903943402,-0.665330823,-0.72136901,0.231562126,-0.549321967,-1.426462494,-0.475783231,0.807824456,-0.782537727,0.709012252,-0.562453354,-0.405355126,-0.105814224,,,0.209978525,-0.185052182,-0.936960054,-0.269640775,-0.328268936,-0.398034552,0.348216337,0.79151303,-0.272559471,-1.349296403,1.238212436,0.189355914,0.109198436,-0.564350043,0.894633656,0.757411522,0.388247613,-0.293797427,-0.237831875,0.042895252,-1.781182327,-1.893338138,-0.152287331,-0.029362827,0.986162488,0.409581807,2.290242869,-0.134718329,-0.801022507,0.816737295,0.013112649,2.145441093,0.204274324,-0.267587297,-0.448526176,0.051805636,0.426321416,-0.307486515,0.404922848,-0.425886189,-0.27242802,0.772983689,-0.312514607,0.317247501,-0.992240467,-0.183891126,0.038668492,-1.087209333,-0.354340202,1.405283456,1.08180394,0.246321035,0.571654574,-0.409542983,-0.030077581,0.612120208,-0.594933438,0.998009549,-0.18707987,-0.442483076,-0.128905876,-0.457490245,-0.033329985,-0.569661556
0500000US51009,AMHERST COUNTY, Virginia,0.658104789,0.008493655,0.333401555,-0.221020193,0.496184471,-0.645560329,0.519521407,-0.076701603,-0.566152575,-0.189575268,-0.709187825,-0.045304157,0.634230953,0.09364647,0.754697669,0.045013795,-0.398197339,0.034535858,-0.249025238,-0.124206716,0.155757979,-0.300463441,-0.78241232,0.137975184,0.496185505,-0.518645835,0.46128318,-0.391420213,-0.247799668,-0.06782219,,,0.02055776,-0.185052182,-0.482121328,-0.686462987,0.019054715,0.547827646,-0.483416174,0.1671677,-0.518490739,-0.740664082,0.334022473,-0.085281545,0.756600448,-0.454986827,1.615120385,-0.413546357,0.506137678,-0.230715354,-0.550147737,-0.092586134,-0.61017045,-0.571080219,1.612892161,-0.273970871,0.628691527,0.336012789,0.128187035,-0.637486374,-0.566591454,-0.07704486,0.507841772,0.812143549,-0.071056225,0.463361058,-0.508444087,-0.275308733,0.333059525,-0.295303072,-0.032982582,-0.547321865,-0.213369295,-0.865655078,-0.474547759,-1.041323654,-0.387916784,0.396579468,-0.001668959,-0.777290699,0.148663995,0.815313511,0.077910725,0.616415093,0.373684965,0.435120217,-0.454813579,0.537428207,-0.386335614,0.612138577,-0.200259353,-0.258554169,-0.128905876,-0.324522515,0.582988682,-0.496125734
0500000US51011,APPOMATTOX COUNTY, Virginia,0.753045833,0.00966931,0.237284858,-0.276663125,1.831494548,0.676153793,0.301612847,0.07458304,-0.036474558,-0.743406504,0.022005618,0.090478668,0.083679814,0.120392876,0.508523389,0.115666879,-0.372014729,-0.160980655,-0.484328395,0.353523119,0.800093226,0.129383104,-2.332903478,-0.271197093,0.676608056,-0.659388177,0.691927489,-0.52444599,-0.457873612,-0.181798293,,,-0.257259363,-0.118761684,-0.785347145,-0.592341842,0.626871103,0.367001049,-0.400252923,0.416905832,-0.223373218,-0.13203176,0.387210117,-0.390434276,0.799760583,-0.974462101,0.094092846,0.171932582,0.217961963,0.589351595,-1.382990035,0.313858025,-0.066486364,-0.871593382,-0.850148991,-0.273970871,0.199726375,1.660255103,0.326996767,-0.271836886,-0.488447769,0.330063511,0.274219686,0.753321599,-0.002223588,-0.098906908,0.420283521,-0.020349494,0.342385714,-0.185652089,-0.566084844,0.250684004,-0.264675909,-0.655573185,-0.150481456,-0.242164151,-0.474248739,-0.183891126,-0.445380913,-0.024631162,-0.039962579,0.356447999,0.77291372,-0.345829457,0.532060652,0.073121703,-0.136261581,0.332025202,-0.350575987,0.79818351,-0.239797803,-0.442483076,-0.128905876,-0.484083791,-0.341489319,-0.569661556
0500000US51013,ARLINGTON COUNTY, Virginia,0.191024166,0.009405603,0.799570231,0.555565036,-3.769389387,-1.29783483,-2.648533813,-1.211336429,1.456254398,-0.023425898,-1.849849597,-2.172568425,1.851238736,-0.41453524,-1.761750528,-3.727860895,-3.513927983,-1.998835871,3.787328915,7.615016608,-1.057108368,-2.359202157,1.31671417,4.025111809,-3.292688057,3.175840655,-1.682854654,0.672786001,2.58819858,1.07193884,,,2.34411915,0.743014786,-1.118895544,-0.91504291,-1.196578062,-1.41344544,-1.231885434,-2.954558948,-1.748147075,2.302497526,1.557338305,6.689109094,-1.746687332,-0.099556377,1.855282628,3.469103452,-0.541774013,1.220172326,-0.914516242,-1.095148394,-1.990291591,-2.434261832,-2.984784656,-3.535411468,-2.231076154,0.372797298,2.489052601,4.847255942,6.817986726,4.817774891,-3.161399224,-1.364268617,-1.447708969,-0.773628466,-1.527048559,6.619255661,2.058404509,-2.805092246,-0.699360409,-1.050412522,0.383469454,-0.109360262,0.092568271,-1.041323654,-2.200887833,-2.215538207,0.038668492,6.705030587,3.103813652,-0.692387459,-1.620985484,-1.45611163,-1.685198973,-1.857537041,-0.985733577,-1.292525831,-0.666452692,-0.028682859,-0.200259353,3.199309289,0.013657398,0.951967695,0.428909015,0.474547113
0500000US51015,AUGUSTA COUNTY, Virginia,0.730834536,0.01320146,0.255964004,-0.079417979,1.071109643,-0.233597486,0.402186029,-0.152343925,-0.421694934,0.308872843,0.241363651,0.656240442,-0.418577366,-0.361042428,0.180291016,0.567846617,-1.02657999,-0.747530192,0.330182533,0.162431185,0.269464199,-0.39095745,-0.424606669,-0.271197093,0.381371155,-0.483460249,0.580876525,-0.457933101,-0.300318154,-0.219790327,,,0.071069964,-0.052471186,-0.664056819,-0.673017109,0.279547453,0.394820526,0.431379588,0.333659788,0.563606837,0.598327026,-0.88929336,0.25038646,0.691860247,-0.345623612,-0.226123478,-0.690878487,0.244159755,0.00584242,-0.472068771,-0.986763285,-0.31741748,-1.14205523,-0.644895562,-0.070130834,1.41512764,1.18205649,0.500955283,0.139518787,0.175773549,0.700363955,0.342932064,1.145467935,-0.793798915,-0.323814094,-1.017746323,0.596051958,0.948588006,-0.636439465,-0.356651812,-0.894280938,-0.083200865,0.184754388,-0.879630637,-0.881491754,-0.215252875,-0.401567599,-0.364706012,-0.290275704,0.21153952,1.143074591,0.4640235,0.394358659,0.492466731,0.435120217,-0.773365578,0.649466209,0.585134253,-0.345648301,-0.22661832,-0.258554169,0.013657398,-0.404303153,-0.495568986,-0.48141857
0500000US51017,BEDFORD COUNTY, Virginia,0.740009352,0.008740693,0.251249955,-0.310642737,-2.26716555,-1.435155778,-0.050393288,-1.589548038,-1.529203514,1.416535314,-0.065737595,1.244632686,-0.43789495,-0.307549617,-0.093235962,0.935242654,0.910933183,-1.255873124,-0.538629123,-0.578050059,-0.602283488,0.378241631,0.267150925,-0.680369369,0.414175255,-0.342717906,0.632130816,-0.419925737,-0.457873612,-0.219790327,,,0.765612771,-0.185052182,0.488201286,-0.404099553,-0.588761674,-0.314576123,0.015563333,-1.164769003,0.858724358,-0.375484689,-0.357416911,-1.427953563,-1.228765722,5.915420474,-1.987313261,-0.074584866,0.545434367,0.242400194,-1.409016356,-0.146778689,-1.195676388,-1.081952597,-1.465909279,7.757326598,-0.336480065,-2.165333803,-0.244581212,0.687993019,-0.918238034,-0.237048287,-0.247994389,0.43960453,-0.105472544,-0.267587297,-0.658238862,0.530895708,0.734085656,-0.100367991,-0.280494346,-0.790193216,-0.297750762,1.697344019,-1.041663788,-2.879390512,1.597718173,-1.344832315,-1.010105218,-0.733016609,1.154672389,2.519671129,0.4640235,-0.49386708,0.888405949,0.736785646,0.076106419,1.153637219,0.614933943,-0.476568809,-0.252977286,-0.479268857,-0.128905876,-0.404303153,0.737068349,-0.437297077
